Date (MM/DD/YYYY),File,Gtype,Flight Time,Start Time,End Time,Landing,Sensor Info,Sensor Info (300),Sensor Info (400),Sensor Info (500),Sensor Info (600),Sensor Info (700)
8/28/2024,4536-9239003639.igc,AS33Es18m,3:47:11,182314,221025,HOME,"AS33Es18m's ENL monitor reports Engine Run 3 minutes, starts at T=182314 and: 964 msl [33 agl]; Height gain/loss is: 1929
AS33Es18m's ENL monitor reports Engine Run 8 minutes, starts at T=211926 and: 1486 msl [656 agl]; Height gain/loss is: 3438
AS33Es18m Motor noise registered by ENL sensor at t=['182315', '182627', '211926', '212802'] and [27, 1988, 656, 4157]AGL",,,,,
8/18/2024,4536-9239003358.igc,JS-3-18m,4:52:41,190038,235319,HOME,"JS-3-18m Motor noise registered by ENL sensor at t=['235317', '235319'] and [98, 95]AGL",JS-3-18m Motor noise registered by MOP sensor (threshold 300) at t=['235318'] and [95]AGL,JS-3-18m Motor noise registered by MOP sensor (threshold 400) at t=['235318'] and [95]AGL,JS-3-18m Motor noise registered by MOP sensor (threshold 500) at t=['235318'] and [95]AGL,,
8/26/2024,4536-9239003561.igc,18mAS33@ventus,4:29:19,172323,215242,HOME,"18mAS33@ventus Motor noise registered by ENL sensor at t=['172338', '172339', '172740', '172756', '215235', '215237'] and [46, 39, 2234, 2235, 99, 95]AGL",,,,,
8/30/2024,4536-9241100606.igc,EB29R,4:17:08,181843,223551,HOME,"EB29R Motor noise registered by ENL sensor at t=['181852', '181853'] and [0, 0]AGL",,,,,
8/16/2024,4536-9241100381.igc,JS-1-21m,5:07:52,180042,230834,HOME,,"JS-1-21m Motor noise registered by MOP sensor (threshold 300) at t=['230224', '230400'] and [1598, 762]AGL","JS-1-21m Motor noise registered by MOP sensor (threshold 400) at t=['230232', '230400'] and [1486, 762]AGL",,,
8/20/2024,4536-9240051845.igc,ArcusT, 4:49:51,195422,4413,HOME,,,,,,
8/18/2024,4536-9239003338.igc,JS-3-18m,5:02:01,182337,232538,HOME,"JS-3-18m Motor noise registered by ENL sensor at t=['232521', '232522', '232527', '232530'] and [76, 76, 78, 78]AGL",,,,,
8/12/2024,4536-9241100318.igc,EB29R, 6:19:57,175948,1945,HOME,"EB29R's ENL monitor reports Engine Run 4 minutes, starts at T=175955 and: 938 msl [0 agl]; Height gain/loss is: 1850
EB29R Motor noise registered by ENL sensor at t=['175955', '180406'] and [0, 1863]AGL",,,,,
8/28/2024,4536-9240051956.igc,ArcusM,3:19:12,173532,205444,HOME,"ArcusM's ENL monitor reports Engine Run 8 minutes, starts at T=194110 and: 2076 msl [1410 agl]; Height gain/loss is: 2175
ArcusM's ENL monitor reports Engine Run 6 minutes, starts at T=202910 and: 2503 msl [1870 agl]; Height gain/loss is: 1624
ArcusM Motor noise registered by ENL sensor at t=['183653', '183654', '194110', '194941', '195004', '195005', '202910', '203524', '205437', '205440'] and [3865, 3859, 1410, 3625, 3297, 3291, 1870, 3406, 76, 76]AGL",,,,,
8/24/2024,4536-9239003553.igc,Ventus3T,3:31:41,192900,230041,HOME,"Ventus3T Motor noise registered by ENL sensor at t=['193733', '193734', '193738', '193739', '194147', '194148'] and [2122, 2096, 2172, 2132, 4416, 4436]AGL",,,,,
8/28/2024,4536-9241100565.igc,JS5,3:23:36,175311,211647,HOME,"JS5's MOP monitor reports Engine Run 22 minutes, starts at T=202807 and: 1535 msl [915 agl]; Height gain/loss is: 3638","JS5 Motor noise registered by MOP sensor (threshold 300) at t=['202807', '205015'] and [915, 4570]AGL","JS5 Motor noise registered by MOP sensor (threshold 400) at t=['202807', '205015'] and [915, 4570]AGL","JS5 Motor noise registered by MOP sensor (threshold 500) at t=['202807', '205015'] and [915, 4570]AGL","JS5 Motor noise registered by MOP sensor (threshold 600) at t=['202808', '205015'] and [915, 4570]AGL","JS5 Motor noise registered by MOP sensor (threshold 700) at t=['202808', '205015'] and [915, 4570]AGL"
8/23/2024,4536-9241100502.igc,JS-5-24m, 6:06:42,183428,4110,HOME,,,,,,
8/21/2024,4536-9239003460.igc,JS-3-18m,4:08:05,192321,233126,HOME,"JS-3-18m's MOP monitor reports Engine Run 4 minutes, starts at T=192321 and: 944 msl [0 agl]; Height gain/loss is: 1559
JS-3-18m Motor noise registered by ENL sensor at t=['192322', '192336', '192649', '192651', '192701', '192722'] and [0, 36, 1135, 1149, 1270, 1486]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 300) at t=['192322', '192730'] and [0, 1545]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 400) at t=['192322', '192730'] and [0, 1545]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 500) at t=['192322', '192730'] and [0, 1545]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 600) at t=['192322', '192730'] and [0, 1545]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 700) at t=['192322', '192730'] and [0, 1545]AGL"
8/19/2024,4536-9239003395.igc,JS-3-18m,5:20:11,181250,233301,HOME,,,,,,
8/21/2024,4536-9240051870.igc,ASG32Mi, 4:33:27,194307,1634,HOME,"ASG32Mi Motor noise registered by ENL sensor at t=['001627', '001631'] and [72, 72]AGL",,,,,
8/22/2024,4536-9240051873.igc,ArcusM, 5:30:29,183008,37,HOME,,,,,,
8/18/2024,4536-9239003355.igc,ASG29,4:59:52,183838,233830,HOME,,,,,,
8/24/2024,4536-9239003549.igc,JS-3-18m,4:53:16,183959,233315,HOME,,,,,,
8/15/2024,4536-9241100363.igc,JS-1-21m,4:47:06,173113,221819,HOME,,,,,,
8/28/2024,4536-9240051954.igc,ArcusM,3:21:03,174342,210445,HOME,"ArcusM's ENL monitor reports Engine Run 8 minutes, starts at T=194626 and: 1384 msl [610 agl]; Height gain/loss is: 3570
ArcusM's ENL monitor reports Engine Run 3 minutes, starts at T=205007 and: 3277 msl [2539 agl]; Height gain/loss is: 830
ArcusM Motor noise registered by ENL sensor at t=['194626', '195525', '205007', '205319'] and [610, 4249, 2539, 3320]AGL",,,,,
8/19/2024,4536-9239003398.igc,18m_N369QT_JS-3,4:55:10,183815,233325,HOME,"18m_N369QT_JS-3 Motor noise registered by ENL sensor at t=['183817', '183823', '183824', '183828', '183859', '183900', '184040', '184041'] and [0, -16, -22, -16, 328, 338, 1627, 1653]AGL",,,,,
8/16/2024,4536-9239003309.igc,AS33Es18m,5:59:33,172916,232849,HOME,,,,,,
8/29/2024,4536-9239003682.igc,JS-3-18m,6:00:32,174119,234151,HOME,"JS-3-18m's MOP monitor reports Engine Run 360 minutes, starts at T=174119 and: 941 msl [33 agl]; Height gain/loss is: 115
JS-3-18m Motor noise registered by ENL sensor at t=['234125', '234126'] and [115, 115]AGL",JS-3-18m Motor noise registered by MOP sensor (threshold 300) at t=['174120'] and [36]AGL,JS-3-18m Motor noise registered by MOP sensor (threshold 400) at t=['174120'] and [36]AGL,JS-3-18m Motor noise registered by MOP sensor (threshold 500) at t=['174120'] and [36]AGL,JS-3-18m Motor noise registered by MOP sensor (threshold 600) at t=['174120'] and [36]AGL,JS-3-18m Motor noise registered by MOP sensor (threshold 700) at t=['174120'] and [36]AGL
